450	91	31	37
442	100	30	30
431	106	36	27
425	110	39	26
421	113	39	26
417	115	36	27
417	115	36	27
410	118	31	24
408	119	32	23
406	121	36	21
405	121	39	24
402	119	33	28
402	122	29	28
395	126	34	27
395	130	33	26
393	135	32	24
393	131	30	30
394	136	27	29
394	140	25	29
393	141	23	29
392	145	24	30
395	147	22	28
393	150	22	27
389	151	23	26
387	152	24	24
387	152	24	24
387	152	24	24
385	148	20	26
387	147	25	28
386	143	23	29
383	142	21	29
382	142	19	30
381	146	19	24
380	151	21	23
380	153	20	22
380	154	19	21
380	153	18	21
384	152	16	23
380	148	19	25
379	151	20	25
378	151	21	26
379	152	18	23
379	152	18	23
379	152	18	23
382	151	18	28
381	152	16	30
378	153	19	28
377	157	18	26
377	158	19	26
377	158	17	27
378	162	16	24
378	163	16	23
379	166	16	21
382	167	15	22
380	167	18	21
380	165	18	25
381	165	17	27
381	165	17	27
381	165	17	27
384	167	16	26
389	168	20	27
383	170	20	25
383	172	19	24
384	173	22	25
385	176	19	24
386	177	17	25
386	179	17	22
387	181	16	20
388	183	16	20
388	184	19	19
389	183	15	21
388	182	18	23
387	183	19	26
389	183	17	24
390	183	14	24
390	184	15	24
387	185	17	24
387	185	17	26
386	187	18	25
386	188	17	25
386	190	18	25
386	190	18	25
385	190	18	23
385	190	17	25
385	190	17	25
385	192	18	25
385	188	16	26
384	191	17	25
383	195	18	22
383	195	17	22
382	192	18	24
381	191	18	25
381	192	18	26
380	193	20	26
378	194	20	25
377	194	20	25
377	194	18	26
376	194	19	25
376	192	18	27
375	196	18	24
373	200	21	23
372	200	18	23
372	201	18	23
371	198	20	26
370	199	19	26
369	192	21	29
368	193	21	31
368	195	19	27
367	196	20	26
365	196	21	23
364	194	20	24
366	194	17	25
365	191	19	28
364	191	19	29
362	191	19	29
361	191	20	27
360	192	22	25
359	195	22	21
359	196	19	18
359	196	19	18
357	194	22	18
356	194	20	18
356	194	20	18
355	193	21	17
354	193	22	19
353	191	23	18
353	191	23	18
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
350	190	19	19
353	169	19	16
354	171	18	14
355	171	16	13
355	172	15	11
356	172	15	11
356	173	14	9
356	173	14	9
356	172	14	9
356	172	14	9
356	173	14	8
356	171	15	10
356	169	16	11
355	170	16	10
355	167	18	12
354	167	19	11
354	161	19	14
354	159	18	15
356	161	15	14
356	161	14	13
356	161	15	14
355	162	15	13
355	162	16	13
354	160	18	13
