160	83	56	65
166	81	56	65
172	80	55	66
174	73	52	74
177	73	58	71
178	71	67	71
178	60	72	73
162	45	67	66
160	47	60	53
147	51	68	59
140	65	70	61
136	70	72	64
134	74	70	62
135	80	71	61
136	91	69	58
139	93	73	66
152	91	72	67
178	89	73	66
178	89	76	72
170	86	83	66
167	84	80	68
163	80	80	75
156	77	76	76
149	77	72	78
129	85	69	89
134	89	79	75
157	86	75	71
188	79	64	69
192	80	61	65
198	95	80	68
193	94	87	68
192	85	82	79
190	77	82	82
205	73	83	73
210	65	83	76
215	71	86	79
210	83	81	74
217	86	76	73
211	90	83	77
202	86	85	80
173	60	87	87
120	45	98	80
99	47	89	86
39	41	98	96
4	49	90	113
22	103	115	109
66	92	102	104
100	55	79	109
119	45	78	118
119	45	78	118
155	43	87	120
178	43	72	105
196	58	77	116
195	67	69	121
195	50	60	110
199	69	56	95
219	64	64	97
228	57	68	91
234	64	73	97
234	66	78	91
227	64	73	104
182	78	82	124
175	94	73	134
163	132	80	145
161	121	81	129
142	113	92	136
133	98	94	155
125	55	95	142
105	53	89	159
107	51	86	156
141	33	85	149
146	62	74	157
147	62	72	155
149	56	73	150
153	45	68	142
146	88	78	143
199	53	57	136
197	50	67	129
194	69	68	116
115	146	97	110
108	165	115	125
96	193	113	121
85	184	107	120
87	143	98	112
91	117	94	113
107	124	97	108
151	124	88	102
161	116	90	106
185	96	93	105
168	64	93	104
153	63	88	98
111	47	94	94
116	57	77	106
99	42	89	84
110	50	78	75
116	63	72	68
124	87	65	58
124	91	65	62
135	79	68	68
157	55	62	72
170	50	63	72
180	65	55	60
182	68	51	58
169	68	56	64
163	74	56	68
158	74	58	70
156	87	57	65
152	88	59	67
155	83	59	71
168	79	59	68
187	80	66	69
224	77	66	74
235	82	67	84
