74	86	56	48
75	88	47	50
75	87	50	50
78	88	47	44
75	89	47	42
76	88	47	39
78	85	51	39
78	80	48	45
77	83	49	45
64	93	56	46
63	94	60	50
62	92	66	67
61	93	66	64
61	95	65	62
63	92	62	65
63	92	58	67
64	90	54	68
64	87	53	70
62	83	55	65
61	81	55	67
59	86	53	67
58	84	54	61
59	92	52	52
57	93	55	48
59	95	48	44
59	96	45	42
59	96	39	43
62	96	37	39
64	97	37	35
64	95	42	39
63	96	41	33
63	97	40	32
66	92	45	29
56	102	43	33
61	103	42	40
58	101	49	49
59	103	52	49
60	104	51	52
62	104	50	54
62	106	46	58
65	104	45	58
66	100	42	60
67	98	41	58
68	97	43	54
71	96	41	46
68	106	40	50
70	106	42	44
71	105	45	41
72	106	41	37
75	106	40	37
76	107	39	34
78	106	36	34
83	106	37	32
79	109	38	33
80	106	43	38
81	110	41	32
85	109	38	29
89	113	33	28
94	109	36	32
97	110	35	31
97	110	36	33
97	109	39	42
100	111	35	51
103	112	35	50
106	110	33	44
108	109	34	33
111	109	35	37
112	108	35	39
114	107	33	37
116	108	34	40
118	107	35	39
119	107	37	40
122	107	35	39
122	107	36	41
127	106	33	41
134	107	29	38
137	108	27	41
141	111	25	37
143	112	25	40
144	113	27	39
148	113	24	38
149	113	25	34
150	112	27	35
151	112	31	39
153	111	35	40
155	112	38	40
156	110	40	43
158	109	40	43
174	95	44	43
178	96	42	42
180	96	42	42
181	96	42	42
182	96	41	43
186	96	40	43
190	97	37	44
189	97	39	46
193	99	38	44
196	99	37	43
198	98	37	43
200	98	38	46
198	100	41	44
203	96	44	44
205	94	47	45
202	90	55	44
203	93	56	51
207	99	42	49
213	95	43	50
211	99	43	49
212	92	57	53
214	91	59	54
215	90	60	56
217	91	59	55
221	91	59	56
224	91	58	56
228	89	57	53
237	84	52	44
228	106	42	42
232	106	41	42
238	106	38	43
240	106	41	44
244	107	39	42
247	107	40	43
255	107	32	39
258	107	30	38
262	108	30	39
266	108	30	39
268	108	30	40
